Departamento,Municipio,Cultivo,Estado,Tiempo Establecimiento,Topografia,Drenaje,Riego,Fertilizantes aplicados,"pH agua:suelo 2,5:1,0",Materia orgánica (MO) %,Fósforo (P) Bray II mg/kg,Azufre (S) Fosfato monocalcico mg/kg,Acidez (Al+H) KCL cmol(+)/kg,Aluminio (Al) intercambiable cmol(+)/kg,Calcio (Ca) intercambiable cmol(+)/kg,Magnesio (Mg) intercambiable cmol(+)/kg,Potasio (K) intercambiable cmol(+)/kg,Sodio (Na) intercambiable cmol(+)/kg,capacidad de intercambio cationico (CICE) suma de bases cmol(+)/kg,"Conductividad eléctrica (CE) relacion 2,5:1,0 dS/m",Hierro (Fe) disponible olsen mg/kg,Cobre (Cu) disponible mg/kg,Manganeso (Mn) disponible Olsen mg/kg,Zinc (Zn) disponible Olsen mg/kg,Boro (B) disponible mg/kg,Hierro (Fe) disponible doble  cido mg/kg,Cobre (Cu) disponible doble acido mg/kg,Manganeso (Mn) disponible doble acido mg/kg,Zinc (Zn) disponible doble  cido mg/kg
cundinamarca,funza,uchuva,por establecer,no aplica,ondulado,bueno,no indica,no indica,5.66,9.706679,5.622298591549295,4.345549738219895,,,4.96569191,0.97882921,0.2045341799999999,0.1459272499999999,6.294983,0.2235131999999999,184.118,,2.8760000000000003,3.462,0.1094420600858369,,,,
cundinamarca,bituima,citricos,por establecer,no aplica,ondulado,bueno,no cuenta con riego,no indica,8.08,3.417595,7.570467605633801,6.832460732984293,,,42.70479672,1.27535635,0.1312169759999999,0.12028233,44.231652,0.6927323999999999,33.181,3.426,,90.92600000000002,0.7103004291845494,,,,
cundinamarca,villapinzon,pastos-brachiaria,establecido,no indica,ondulado,bueno,no cuenta con riego,no indica,5.87,2.336659,16.901171830985913,14.424083769633508,,,9.59718306,0.94570072,0.194180868,0.13846343,10.875528,0.3344772,670.747,3.72,8.481,2.455,0.130901287553648,,,,
cundinamarca,villapinzon,pastos-brachiaria,establecido,no indica,ondulado,bueno,no cuenta con riego,no indica,5.56,6.853757,32.07638309859154,9.581151832460732,,,7.528300300000001,0.8416084699999999,1.5904150199999998,,10.060324,0.3614256,791.175,6.83,5.694,2.631,0.3025751072961373,,,,
cundinamarca,"bogota,  d.c.",papa de ano,por establecer,no aplica,pendiente,bueno,no cuenta con riego,"15-15-15, 18-18-18 y 10-30-10",4.87,16.041251,64.19919999999999,5.523560209424084,5.028453938178679,4.643149930128704,2.23477545,0.34667245,0.3131876879999999,0.1563574599999999,8.079447,0.3741072,1685.377,4.124,17.619,8.567,0.3025751072961373,,,,
boyaca,tuta,avena,por establecer,no aplica,pendiente,bueno,aspersion,no indica,5.18,3.514802,4.948495774647887,6.439790575916231,2.356131561296704,2.1306229116607907,2.3367703600000005,0.52009919,0.263559312,,5.57656,0.1949796,1729.014,3.902,6.734,2.356,0.1952789699570815,,,,
boyaca,tuta,avena,por establecer,no aplica,pendiente,bueno,aspersion,no indica,5.77,1.891871,38.28708732394366,5.130890052356021,,,5.83731472,0.77897209,0.4849738919999999,,7.201261,0.2314391999999999,1258.131,2.511,4.045,1.614,0.1738197424892703,,,,
cundinamarca,la vega,platano,establecido,no indica,no indica,no indica,no indica,no indica,5.44,6.66299,15.465678873239431,8.795811518324609,0.5201848901564151,0.3618038906593795,3.2112477100000003,0.7925493400000001,0.15023556,,4.774218,0.2425356,275.682,,3.026,3.998,0.1952789699570815,,,,
cundinamarca,villeta,aguacate,no indica,no indica,ondulado,bueno,goteo,no indica,5.55,3.033282,12.273123412249427,3.3273381294964026,,,4.71010079,1.60953773,0.152092404,,6.571731,0.1542928,343.321,1.088,3.993,,0.1198899371069182,,,,
boyaca,garagoa,aguacate,establecido,de 0 a 1 ano,ondulado,regular,no cuenta con riego,no indica,5.06,2.38062,7.218918309859154,3.167539267015707,2.4683283023108324,2.3014747489166085,0.94649959,,0.10606518,,3.800893,0.100396,404.756,,2.849,,0.0879828326180257,,,,
cundinamarca,chia,frutales,establecido,mas de 10 anos,plano,bueno,manguera,"15-15-15, cal viva y abono organico",6.42,6.830018,61.738354929577454,81.93717277486911,,,19.48915227,1.8193515,0.658842012,0.50160698,22.468953,1.4182256000000002,53.813,2.071,2.645,7.033,0.4957081545064378,,,,
boyaca,chita,cafe,establecido,de 1 a 5 anos,plano,bueno,no indica,no indica,5.35,4.476783,11.305678873239437,3.298429319371728,0.703779557270444,0.5125555117674544,8.620710800000001,1.2367969600000002,0.232780716,,10.894068,0.2029055999999999,646.7560000000001,,4.604,6.282,0.1523605150214592,,,,
