Municipio;Altitud;Temp_Max;Temp_Min;Temp_Mean;Precipitacion;Humedad_Max;Radiacion_Solar
funza;2552,0;;;13,6;;;
bituima;1403,0;;;20,3;;;
villapinzon;2858,0;;;10,1;;;
la vega;1515,0;;;19,9;;;
villeta;858,0;;;25,0;;;
garagoa;2327,0;;;11,8;;;
chia;2552,0;;;10,2;;;
chita;3252,0;;;6,9;;;
socota;3353,0;;;6,8;;;
maripi;948,0;;;21,8;;;
nocaima;1013,0;;;22,9;;;
duitama;3470,0;;;8,2;;;
cachipay;1353,0;;;20,2;;;
guaduas;985,0;;;24,2;;;
carmen de carupa;3009,0;;;9,9;;;
une;3493,0;;;5,4;;;
lenguazaque;2971,0;;;9,4;;;
san cayetano;2474,0;;;13,6;;;
cogua;2747,0;;;12,4;;;
choconta;2767,0;;;9,8;;;
la calera;2906,0;;;9,3;;;
tenjo;2572,0;;;10,9;;;
tausa;3414,0;;;6,8;;;
bojaca;2702,0;;;13,6;;;
viota;922,0;;;24,5;;;
gacheta;2295,0;;;11,9;;;
el espino;3046,0;;;9,9;;;
viani;1771,0;;;17,2;;;
samaca;2710,0;;;9,9;;;
la uvita;3020,0;;;8,4;;;
cienega;2636,0;;;10,3;;;
ramiriqui;2931,0;;;9,5;;;
el colegio;1556,0;;;20,9;;;
medina;675,0;;;21,1;;;
tibana;2021,0;;;13,3;;;
cota;2562,0;;;13,6;;;
caqueza;1735,0;;;16,3;;;
ventaquemada;2876,0;;;9,6;;;
tabio;2625,0;;;10,5;;;
choachi;1942,0;;;14,5;;;
sasaima;1431,0;;;20,3;;;
guayabetal;1695,0;;;15,7;;;
ubala;1506,0;;;18,5;;;
tibirita;2371,0;;;11,4;;;
la palma;1442,0;;;19,0;;;
mosquera;2545,0;;;12,9;;;
tibacuy;1617,0;;;19,1;;;
manta;1817,0;;;15,2;;;
san juan de rioseco;551,0;;;25,6;;;
sotaquira;2846,0;;;10,9;;;
chaguani;1146,0;;;23,1;;;
fusagasuga;1571,0;;;20,5;;;
pasca;2596,0;;;13,7;;;
chipaque;2336,0;;;10,8;;;
facatativa;2708,0;;;13,4;;;
la pena;757,0;;;26,2;;;
tibasosa;2709,0;;;12,6;;;
toca;2843,0;;;9,6;;;
turmeque;2490,0;;;11,1;;;
paime;923,0;;;22,6;;;
tocaima;349,0;;;24,9;;;
sogamoso;3085,0;;;8,1;;;
pachavita;1869,0;;;14,1;;;
aquitania;3160,0;;;7,9;;;
anapoima;719,0;;;23,4;;;
santa rosa;1309,0;;;19,9;;;
guacheta;2678,0;;;12,1;;;
nobsa;2539,0;;;13,7;;;
puerto salgar;201,0;;;28,2;;;
puerto boyaca;176,0;;;27,6;;;
quipile;1550,0;;;19,1;;;
raquira;2757,0;;;10,8;;;
gachala;1733,0;;;15,2;;;
subachoque;2797,0;;;9,3;;;
guatavita;2815,0;;;9,4;;;
venecia;1214,0;;;21,9;;;
quebradanegra;920,0;;;22,0;;;
sibate;2706,0;;;11,1;;;
fuquene;2744,0;;;11,9;;;
pandi;1515,0;;;20,9;;;
apulo;578,0;;;23,8;;;
chiquinquira;2542,0;;;13,4;;;
umbita;2470,0;;;11,5;;;
arcabuco;2684,0;;;12,9;;;
caparrapi;702,0;;;24,8;;;
anolaima;1531,0;;;19,2;;;
macanal;2080,0;;;13,0;;;
la mesa;927,0;;;23,1;;;
san francisco;584,0;;;24,9;;;
quipama;1344,0;;;19,8;;;
sesquile;2921,0;;;8,6;;;
