Municipio;Altitud;Temp_Max;Temp_Min;Temp_Mean
funza;2552,0;22,0;12,3;14,1
bituima;1403,0;26,2;19,1;21,0
villapinzon;2858,0;15,8;9,3;10,6
bogota,  d.c.;2554,0;18,3;11,2;12,5
tuta;2720,0;19,2;7,6;11,8
la vega;1515,0;25,7;18,6;20,5
villeta;858,0;31,8;23,1;25,6
garagoa;2327,0;17,6;10,9;12,2
chia;2552,0;19,4;7,9;10,9
chita;3252,0;11,8;6,3;7,3
socota;3353,0;11,4;6,3;7,0
maripi;948,0;28,7;16,8;22,8
nocaima;1013,0;30,0;18,5;22,9
duitama;3470,0;16,6;6,4;8,9
cachipay;1353,0;26,1;17,9;20,1
guaduas;985,0;31,1;22,4;24,9
carmen de carupa;3009,0;16,9;9,0;10,2
une;3493,0;12,1;5,0;5,5
lenguazaque;2971,0;15,1;8,6;9,9
san cayetano;2474,0;22,5;12,6;14,0
cogua;2747,0;19,8;11,8;12,7
choconta;2767,0;15,8;9,4;10,2
la calera;2906,0;17,3;8,8;9,8
tenjo;2572,0;20,5;9,5;11,8
tausa;3414,0;13,9;6,0;7,4
bojaca;2702,0;21,8;12,1;14,1
viota;922,0;29,4;21,3;24,8
gacheta;2295,0;18,1;10,8;12,2
el espino;3046,0;17,5;9,2;10,1
viani;1771,0;22,5;15,7;17,6
samaca;2710,0;16,2;9,3;10,1
la uvita;3020,0;13,2;7,5;8,4
cienega;2636,0;17,0;8,9;10,6
ramiriqui;2931,0;16,8;8,1;9,7
el colegio;1556,0;23,6;18,6;20,9
medina;675,0;27,0;20,0;21,2
tibana;2021,0;19,8;12,0;13,7
cota;2562,0;21,9;12,3;13,9
caqueza;1735,0;21,8;15,3;16,5
ventaquemada;2876,0;16,9;8,2;9,9
tabio;2625,0;20,1;9,1;11,1
choachi;1942,0;21,2;14,0;14,7
sasaima;1431,0;26,2;19,1;20,8
guayabetal;1695,0;19,7;14,1;15,6
ubala;1506,0;22,4;17,8;18,1
tibirita;2371,0;17,2;10,5;11,7
